,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.7293192148208618,0.6182723641395569,0.7166309952735901,0.6007803082466125,0.0010000000474974513
1,0.7627905607223511,0.5486873984336853,0.7166309952735901,0.5842761993408203,0.0010000000474974513
2,0.7627905607223511,0.5433691143989563,0.7166309952735901,0.5829035043716431,0.0010000000474974513
3,0.7627905607223511,0.5430287718772888,0.7166309952735901,0.5852839350700378,0.0010000000474974513
4,0.7627905607223511,0.5440732836723328,0.7166309952735901,0.5762083530426025,0.0010000000474974513
5,0.7627905607223511,0.5347478985786438,0.7166309952735901,0.5714552402496338,0.0010000000474974513
6,0.7627905607223511,0.5245729684829712,0.7166309952735901,0.5480014681816101,0.0010000000474974513
7,0.7627905607223511,0.501791775226593,0.7166309952735901,0.5875559449195862,0.0010000000474974513
8,0.7627905607223511,0.5065584182739258,0.7166309952735901,0.4834451377391815,0.0010000000474974513
9,0.7627905607223511,0.4825570583343506,0.7166309952735901,0.441165953874588,0.0010000000474974513
10,0.7627905607223511,0.44022753834724426,0.7166309952735901,0.4026238024234772,0.0010000000474974513
11,0.8146693110466003,0.42132094502449036,0.8781194090843201,0.3685374855995178,0.0010000000474974513
12,0.8243743181228638,0.43222513794898987,0.771942138671875,0.4044005274772644,0.0010000000474974513
13,0.8369410037994385,0.41218137741088867,0.9032778739929199,0.3087695240974426,0.0010000000474974513
14,0.8512588739395142,0.3864237666130066,0.9131456613540649,0.26179224252700806,0.0010000000474974513
15,0.8571531772613525,0.36828792095184326,0.9184756278991699,0.2421373426914215,0.0010000000474974513
16,0.8585045337677002,0.36054137349128723,0.916641891002655,0.23050296306610107,0.0010000000474974513
17,0.8615286350250244,0.35328254103660583,0.9169139266014099,0.23836921155452728,0.0010000000474974513
18,0.8642715215682983,0.3480839133262634,0.90842604637146,0.26554936170578003,0.0010000000474974513
19,0.8636176586151123,0.34840506315231323,0.91905677318573,0.20949256420135498,0.0005000000237487257
20,0.8650408387184143,0.3396378755569458,0.91851806640625,0.21431224048137665,0.0005000000237487257
21,0.8641873598098755,0.33552202582359314,0.92201828956604,0.21711599826812744,0.0005000000237487257
22,0.8690205216407776,0.32594531774520874,0.9209966063499451,0.21383380889892578,0.0002500000118743628
23,0.8684214949607849,0.3226720988750458,0.9203119874000549,0.2089926302433014,0.0002500000118743628
24,0.8648751378059387,0.3277406394481659,0.9221377372741699,0.2071932852268219,0.0002500000118743628
25,0.8652624487876892,0.3373558521270752,0.919302225112915,0.24847093224525452,0.0002500000118743628
26,0.8657591342926025,0.33644354343414307,0.921072244644165,0.21626786887645721,0.0002500000118743628
27,0.8688375949859619,0.3211251497268677,0.9223805069923401,0.21731235086917877,0.0001250000059371814
28,0.8699048757553101,0.31546899676322937,0.92144775390625,0.20867681503295898,0.0001250000059371814
29,0.8703396320343018,0.31189727783203125,0.92174232006073,0.2092982977628708,6.25000029685907e-05
