,accuracy,iou_metric,loss,val_accuracy,val_iou_metric,val_loss,learning_rate
0,0.7619426250457764,0.016739511862397194,0.5744736194610596,0.7374240756034851,0.0693364366889,0.3858574628829956,0.0010000000474974513
1,0.8297040462493896,0.3399375379085541,0.41714754700660706,0.90606689453125,0.6604499220848083,0.28429940342903137,0.0010000000474974513
2,0.840219259262085,0.3647516071796417,0.38719433546066284,0.9137281179428101,0.6904220581054688,0.26385170221328735,0.0010000000474974513
3,0.8524671792984009,0.427586168050766,0.36320456862449646,0.91385418176651,0.6912328600883484,0.29853442311286926,0.0010000000474974513
4,0.8519999980926514,0.4361516237258911,0.36339646577835083,0.918390691280365,0.7109043002128601,0.24558760225772858,0.0010000000474974513
5,0.8510943055152893,0.4468933343887329,0.3587897717952728,0.917866587638855,0.7066881656646729,0.23817071318626404,0.0010000000474974513
6,0.8534842729568481,0.42492222785949707,0.3622976243495941,0.9187130928039551,0.7108363509178162,0.2290726751089096,0.0010000000474974513
7,0.8560134768486023,0.4557020664215088,0.34767764806747437,0.9133632779121399,0.688469409942627,0.25383850932121277,0.0010000000474974513
8,0.8602051138877869,0.4653022885322571,0.34228479862213135,0.923294723033905,0.7446108460426331,0.2164071500301361,0.0010000000474974513
9,0.8595903515815735,0.4570128619670868,0.3473205864429474,0.9184689521789551,0.7101114392280579,0.23220348358154297,0.0010000000474974513
10,0.862165629863739,0.4766174852848053,0.3436385989189148,0.921453058719635,0.7223924994468689,0.2274245321750641,0.0010000000474974513
11,0.8642140030860901,0.47708794474601746,0.33413949608802795,0.9137997627258301,0.6905617713928223,0.24596355855464935,0.0010000000474974513
12,0.8679910898208618,0.4829322099685669,0.3294335603713989,0.924560546875,0.7405275702476501,0.22852201759815216,0.0005000000237487257
13,0.8703718781471252,0.5081859230995178,0.32328882813453674,0.9190341830253601,0.7133498191833496,0.22557590901851654,0.0005000000237487257
